u,v
2754,62927
27434,60481
43993,61839
3750,63618
2693,10901
31631,42995
5138,61742
5510,66217
6543,38500
6219,8765
41518,44753
8216,14939
31761,35336
6142,10430
25239,51962
40399,62905
37571,57372
22152,53707
9828,28858
34813,67362
43484,59925
54691,57820
25239,51233
21858,66135
23071,65805
38001,67701
8025,48973
13112,50850
14484,17405
18694,41687
51901,58994
44990,61344
52477,52771
39069,43318
15168,22948
56424,65621
57444,62757
41410,64143
6476,9884
28348,36718
37887,44022
41541,45539
12654,37312
25569,30073
9451,18533
33158,58588
11953,55259
5486,28950
16619,47515
16413,63396
5559,24478
1785,13093
15946,64011
18384,63901
6254,51840
20743,32749
24492,53302
30744,62650
13447,55167
278,65665
58600,61289
21326,48634
18720,34961
19813,46975
5660,7136
46139,50332
41423,66359
43226,64813
9703,21937
27602,28497
16933,32505
24067,43345
27347,66518
3150,5829
23743,24086
457,48576
49069,64208
10486,42595
31271,44572
35606,65013
33617,66932
29635,46160
53238,67494
1768,26952
4783,31219
25326,56120
10683,30744
32635,33141
11850,56663
8193,27174
7048,20394
10849,45417
7077,18220
10790,23245
45749,52184
11458,15843
37380,66820
24165,65727
16574,35021
28138,38204
29437,66932
11913,36998
17370,56948
40531,50481
53874,67652
962,54112
56602,60885
52458,60246
36324,60428
35096,63979
10108,23282
10509,17162
7859,49332
46314,64577
40347,42503
8621,61020
31421,61346
361,32833
41480,56021
12890,39584
14742,53942
37112,60934
8661,40675
8978,11121
2600,41084
23037,53540
34417,68009
9154,24067
10211,30876
10640,61556
38076,58988
52303,66612
49929,59836
8391,64107
11580,26913
19091,50487
36278,47552
6518,59798
16164,18977
30037,39162
4690,10278
5399,38300
28278,57281
21934,56775
38865,67823
4318,11536
62597,65099
17370,28083
32162,44567
21418,32264
6254,6517
41238,65650
40419,51207
37108,64352
14239,52477
12841,45863
36805,56473
20741,38499
6814,68111
13960,51706
22065,56765
39085,48098
12457,21044
8671,30313
15036,65727
27676,45523
56083,62824
3761,55747
47551,49190
30946,60141
66564,67493
46139,66995
38375,66621
12639,48387
36180,52315
13763,58195
44872,60333
10598,14945
39402,59077
12487,14832
11266,13370
3189,37390
45034,54915
29859,36010
4793,6561
643,50568
34871,66289
1174,6589
720,19169
8765,62976
5357,23939
361,16278
3046,28152
8026,61830
23908,40665
29595,52025
39773,62646
37334,49369
38682,39177
18109,34596
26645,28439
10512,62418
31023,56059
24086,63697
24719,52280
27499,61101
8012,41588
61454,64430
40435,46344
36438,62803
12639,46346
11660,43076
4983,66171
61757,65647
7182,36103
26793,47677
31583,48634
14512,33949
28320,48022
7233,60546
15826,22716
457,61475
48073,57365
50110,65013
8116,47406
26913,45521
11850,12230
30647,36383
5925,33892
14958,58133
25056,61222
10773,64740
48248,59651
21952,66898
10280,58888
21858,45181
23704,42632
44782,59946
11660,23297
5138,48973
40987,47509
38253,38480
14757,14919
1481,30205
36578,48570
27447,45848
24165,50620
3479,58119
7988,54042
5746,21895
23580,58323
97,28998
8206,12487
28461,30545
34606,52051
5029,66399
18413,48073
10597,13824
654,52207
8521,21073
10901,56437
7322,33151
29928,34131
9297,12235
7577,55704
17408,66174
38090,59834
6322,63195
57878,64168
22916,22990
27312,66135
40192,51565
49304,56916
15757,42952
25628,51615
16765,25675
37259,59512
48886,62500
16009,22552
27461,63856
17141,26028
13648,37932
62597,64619
9483,40345
52344,66288
1539,37417
34131,62649
30808,52429
166,62777
56759,62972
26450,44305
9082,34142
4999,54321
25709,41696
4085,67914
35911,55559
31851,58776
44762,47677
14945,16687
39984,44515
16831,29808
2038,60184
26311,32731
48677,51851
45169,46823
334,59722
23743,63009
19660,49908
33617,36083
1931,16805
44454,59600
13740,37108
51157,55625
26724,31820
7108,9643
11720,30160
3437,25527
10598,22726
34735,49001
28461,43318
30481,59600
1035,39941
8495,38747
12655,53715
6591,11212
24719,52301
28702,65797
31729,40803
46364,60332
1227,46572
27319,59169
18168,38892
3542,65341
4336,62936
54665,65045
6561,7268
9297,60546
68302,68711
10116,41844
47822,57283
334,51512
25151,44997
46660,68265
28042,57820
35372,45521
16031,64394
23701,38826
24894,53540
7648,46402
31670,56916
51028,62824
23633,43541
290,31990
11002,51520
1769,32915
22864,31416
16320,62245
35630,44515
18459,47244
7335,49794
22552,45385
7696,35132
42358,66575
25518,64553
26180,66621
2371,41007
26363,64577
29439,66689
7522,36109
19388,19420
12193,34477
7648,20279
8391,67905
60546,68251
6531,62878
25721,54099
6254,37963
6154,33092
7660,62597
3905,24394
34183,60140
23743,29220
5764,10425
14757,27337
18433,19470
10375,15032
22270,60683
26304,55973
18680,38742
40803,67362
27260,66642
18634,62544
26304,47541
18191,44753
3890,6218
19268,44262
3890,57878
21934,60632
30545,62691
37538,58133
1539,35096
13798,52860
24963,53777
13201,59887
11749,36494
63585,63697
440,52208
4450,39085
6831,7926
16854,41611
23825,49958
7696,13745
12310,14654
33454,33617
3175,40737
38656,65086
54310,65182
32291,60024
61381,62093
32109,58965
1616,14906
9914,23860
20892,40947
31398,53387
2555,6809
45024,47263
26478,33919
52419,60216
26861,57392
31065,57054
15874,60282
15957,51210
53638,60720
25404,38767
26563,62255
22198,44305
12951,51902
3091,28214
39264,57173
14642,61186
25096,64020
25278,31517
20544,36180
25569,32067
15135,17436
6379,46703
33892,64100
8593,35910
14919,41410
60645,61201
25902,44029
6543,19470
8281,22862
29181,45079
9483,55555
66349,67268
48604,53070
300,20773
17235,49340
35606,37939
5702,11490
23448,40517
2070,63303
23037,57259
23610,43136
14490,57635
12368,58653
26977,53328
40053,60246
38090,55502
46616,61333
51604,60982
1765,18109
42444,42466
19073,67496
52301,67985
26122,68631
24181,48973
12067,17289
48120,61069
8863,26021
56344,63697
45385,55787
22189,51028
26712,33512
7417,65707
2602,21934
50634,59478
16269,23282
14888,38107
3890,56475
5343,59471
16753,51266
8875,61020
15343,63322
19183,49332
6153,28253
28279,48248
18541,21912
21834,43080
5901,7668
50213,54123
38374,52429
10976,64244
35439,41792
10529,54915
48098,49074
7736,14023
2128,25902
18956,41687
37716,51763
10088,37152
28209,36019
8851,9169
1268,39020
6495,48411
49110,64191
49743,52946
10653,66440
15304,17289
15032,68727
9169,64063
44515,66349
28971,53444
859,42431
26367,50662
11616,44394
20075,46896
59145,62351
6055,39085
13112,48389
17235,37647
19615,58588
32749,64826
17912,66561
36192,42653
16411,29750
12211,14088
14476,24826
54915,66349
175,25137
27652,30744
49541,66183
5138,55387
33715,49105
44803,51138
25569,58887
47775,64208
18908,49681
30291,35750
8465,27935
19974,63786
21624,48248
18908,23763
57942,58301
21669,62227
56775,68221
15100,62725
59986,62345
38375,44547
34142,40675
6044,58733
9618,58006
41840,66157
5451,37164
21477,62227
6543,42819
20071,36010
8307,14945
11421,59731
8974,12511
29437,29546
63707,68368
19318,37152
31296,39731
46695,63113
58462,59125
53387,53406
25717,38823
13558,55857
16411,56602
388,42162
46486,59798
50568,60481
28254,60301
6977,12459
23460,30377
19028,61323
6436,50636
20340,41458
21209,42274
42341,56343
8188,15912
1021,45575
23687,65168
11953,27587
38956,68367
19615,49983
46077,62824
46402,61556
18844,43686
60184,60720
31731,65946
68111,68128
39935,41928
14911,34242
47770,47877
13462,50699
46598,58529
49958,55443
33543,56227
19447,49151
2934,46909
6561,14103
17886,23674
52506,67933
20050,39320
48032,57371
27652,59471
13105,68125
20394,45417
40517,66135
36383,40079
25844,44543
9470,11403
29635,46237
12334,59730
37219,43692
48031,64950
48411,57295
24311,62404
1121,43864
42584,53907
25902,53159
37482,46876
60810,67701
19123,31383
15078,27698
3029,57145
5745,58685
23138,29595
13133,27312
16805,58769
16350,57558
768,6392
15503,63504
34206,59357
35707,44007
42486,64960
20883,51706
37851,50481
16164,35280
46404,63363
29181,48125
19107,19237
65013,68128
29334,42856
31065,54178
45983,68571
22502,33431
21089,50913
6700,47703
48002,55319
4983,28651
16164,52237
11925,42995
753,59946
43740,51791
753,33543
38892,52762
52050,55229
4436,39195
15618,47542
8600,13651
12910,68316
18109,51784
30847,60282
159,61338
44370,44394
13333,42198
3015,20529
8570,23743
10108,37244
9768,66262
9768,66288
10597,15730
5660,38112
928,21188
38419,59190
47884,63423
42391,47049
32439,56982
18498,64859
3465,63966
11557,67464
18413,39190
12109,19046
32718,65387
17667,64173
14461,63697
9656,21934
26511,27910
24824,39588
15711,59090
18844,49875
5357,54915
25151,38164
55867,67282
15618,51294
19169,33273
702,63850
6476,15334
555,1110
37417,59885
733,15900
4965,38682
58319,65634
28638,36949
33617,41928
8036,12067
6439,57942
32832,58887
28286,59169
43037,47519
21518,32109
39606,44990
66349,67243
27911,40700
34142,65199
17755,36019
65707,68542
25335,37520
37359,61509
13156,27191
40345,59789
20921,48724
8705,45771
140,32931
38419,62769
13648,28534
11009,32814
19082,67912
9746,25948
46499,57365
9064,15295
50330,67453
11599,24558
5339,55443
13052,19904
61580,66522
48570,53196
19615,66995
55924,63171
28549,42995
3479,15295
2511,32506
9281,15957
582,14088
18956,29546
7704,38826
24408,60869
22427,25773
13260,42384
25481,40077
26847,63113
23245,46507
55387,65013
27096,30416
31319,56256
34948,37268
53499,57368
45963,48427
9078,17075
36340,39835
35300,53784
491,27455
34001,38614
7188,13664
12067,35022
34159,61020
41320,59366
11953,39039
11403,56150
24117,26997
11013,22938
31452,60604
14823,52928
19926,25442
5379,27434
49295,49658
36772,64577
22691,58685
3465,28240
13937,53196
21669,23560
6476,63728
7346,14726
28837,46250
28001,56704
27888,68027
8702,25044
32800,54465
35630,56704
20773,26969
22552,23169
8265,57785
40222,45736
32162,62669
34891,63009
52050,52167
19275,53601
50052,55079
4723,6613
16278,42819
8301,56910
4014,52839
4387,20921
14546,47861
3315,66525
10550,25448
4476,10541
41901,60010
6084,38895
17410,59471
60618,62493
37522,54112
27221,59126
29715,44427
15631,22152
40047,60094
37025,37152
32697,52149
6499,17405
21130,31990
32205,38987
40098,46569
6254,46344
1539,26645
39773,60043
16610,20394
39598,58814
5138,11196
62775,67037
11078,47542
16675,20279
56442,59690
11442,18956
43481,55387
31103,60140
4892,56185
42815,47244
35107,65562
56915,64594
10633,11850
9570,45736
28553,64813
14176,63009
15587,38059
2794,51030
18015,67887
27896,31398
6622,43226
24059,39835
57820,61556
46264,65848
7574,25820
10431,26398
643,44392
4959,49865
41792,50616
23723,60171
1078,52167
1724,12067
7599,7648
43948,65505
5981,32905
44977,53349
14546,54556
60632,66288
3511,61173
5660,8672
15993,30982
36626,38614
50052,68711
8035,63113
40045,68001
2784,51482
16586,30869
17634,30160
5138,44515
26451,33512
31052,52333
20429,62972
21411,49295
23106,59077
1627,22172
13016,62637
29509,43318
11452,43182
15843,67282
43558,63382
25241,61635
51824,61005
29291,46139
54845,65199
5029,26467
183,477
6975,20394
12458,34402
23723,53102
27698,37780
6517,32833
4446,14645
37799,65621
38057,56561
6738,65088
11913,53054
6769,56685
54785,59471
7272,36907
14497,24478
10740,49794
6284,61509
27738,41465
1441,22743
16354,42399
50673,68367
14176,63171
14940,33204
29373,66932
3975,36138
50415,61147
19177,61622
22632,61896
52344,62676
1268,20793
11403,62871
53506,65786
21380,42687
6091,14083
37972,64383
15108,63396
39811,46270
17683,21326
33782,39659
1778,50090
22285,24198
21312,68265
3737,56559
8307,16687
46064,68385
13937,42918
6439,16907
66289,68179
19660,55835
15826,49161
9470,11046
52992,57547
31860,36772
22747,47451
3542,46497
20946,26176
5888,56665
38434,62663
8660,22062
64865,67493
1973,56639
4186,64034
45466,64624
33293,38891
25655,44977
10108,47948
10576,16476
15175,57132
42789,51099
65232,65792
16711,63412
26860,64076
40691,54076
9606,18441
23778,53302
976,66898
17495,52373
12109,37163
22916,33454
4890,24719
22621,29326
10081,26596
37482,63113
27331,33755
764,8765
1511,11850
34989,64352
10185,39242
35910,66288
12264,23220
7463,49143
11403,57473
11078,38055
28161,30254
11074,24408
17885,66575
22788,51334
5964,25027
10598,16687
14225,39264
2111,44332
8248,38614
22643,37978
2689,23918
42727,65017
10815,58395
16685,23687
34101,47200
23220,38264
34463,46064
25496,52820
29976,68251
17838,24122
37244,52956
18844,28837
28991,34735
4700,41179
6065,34148
51413,63412
10375,42162
42008,53268
34364,34646
16869,32814
29941,44442
34677,51070
34142,49304
60095,60546
33179,41409
38826,52762
42487,45715
36472,45766
3767,29928
11925,53054
6517,40435
31416,46993
16266,19224
30160,53844
30160,49356
21286,46894
6517,53450
33231,66995
1737,57466
22031,22237
14297,65185
25948,49174
34264,67323
24765,50090
7704,34142
10234,34649
19469,38134
10510,63854
13496,24886
24626,65857
15946,54519
38937,46823
8036,16164
3423,44022
27888,34649
17384,34241
50295,57885
29319,62460
9207,12067
3306,5063
20177,65553
46344,49074
3038,56867
16675,19835
6439,18671
3430,64826
19460,53023
4906,59553
15168,35630
21073,44705
12404,42304
21762,53406
43920,45942
13347,43744
57281,62743
7755,56855
45226,60863
1337,44515
12227,44705
1441,39920
15587,48744
16663,65099
44332,53241
12400,36255
30744,54915
22189,51161
7346,53874
37959,39202
17804,22353
21688,45446
6543,10431
37887,56384
33067,51719
14906,57273
28900,45556
40719,57612
19615,51720
1344,4793
18351,66495
18601,67617
12109,54334
11930,13234
32833,39085
26860,36718
37887,44860
51355,64352
36400,56270
58231,61648
8984,63355
4436,46634
41687,61742
21170,27499
48076,51890
334,14509
22996,44446
18384,34222
655,60077
3200,29595
5828,18780
11264,50568
28461,30909
18109,55079
37983,39460
24993,67377
40104,65319
11119,42444
10064,10186
5567,31668
5138,45692
14760,27499
29509,56440
8661,56916
51604,57246
10756,15587
6504,30908
15175,42162
32814,58653
17894,27356
32112,42392
25702,32275
38949,60934
31452,52677
17235,34101
15464,22735
4389,12459
20279,32756
58987,67465
1035,28111
21625,45081
11040,31612
9317,53456
51109,56424
2375,43974
12096,43864
37417,45983
34824,37664
25919,44515
15946,21049
23023,65379
5554,49165
7648,50878
10211,15212
31059,52622
19283,39020
15631,22065
24711,46344
32939,44515
2842,68470
42597,66349
57957,65422
1292,56677
1851,6455
1539,54369
14945,65091
18668,42889
40061,43590
36110,36619
14642,47514
7736,23514
31409,58365
36800,59682
14297,16654
4621,9443
5799,65797
27159,58495
30589,59276
8014,50878
9884,29960
15388,64437
8660,23307
5702,8329
38076,42396
13824,38111
499,11216
24959,45079
4719,38300
8199,62636
5828,20715
22239,59790
7859,10631
38826,40675
38730,51962
24088,30956
55787,63462
11925,48002
11660,42725
13446,14312
1747,10621
45008,45712
63273,64142
43361,56083
5745,64352
53102,60171
3373,21624
35689,53995
23970,68656
9451,31832
31631,58449
443,5443
31319,65013
51565,55676
7472,22342
25844,60148
50073,56264
23448,52690
44631,57197
14342,29129
48089,54691
13496,46269
36033,60797
10535,42889
5660,31670
46695,59077
46909,49509
9530,56775
28879,42788
27743,57281
22552,66135
22483,50278
2101,54818
52860,65248
39300,65518
4462,33231
21141,64163
31702,43246
577,59886
6142,55259
23797,52333
9227,42595
48095,65864
35703,65517
14017,17470
35912,62879
2371,64632
1653,17162
42999,46357
29509,59263
23942,53909
61843,66825
6614,61101
32054,36010
25669,28292
25590,59512
19660,42618
3228,13496
8025,67701
55265,67823
17100,34926
40316,64298
49642,62508
22427,59216
48583,51191
44446,60041
24875,60421
40517,63938
23345,47212
39460,46798
50109,60403
12445,40183
15168,39723
27312,28320
16266,44736
18384,40524
34891,62227
354,17405
31820,53693
10403,50884
6975,47677
33545,60869
12433,32017
10298,12576
29635,33543
31083,54050
9026,50415
59621,66561
21588,67701
41973,43562
764,8031
50300,64452
9281,15402
24127,32439
32295,40806
30420,46630
35054,63203
10515,24888
10631,16581
1481,38614
34740,59471
8427,34005
18297,57433
11267,51070
9082,18168
36143,51176
38785,47814
13527,64208
7806,31468
5649,51327
22107,52116
36456,60268
12497,38203
14525,30744
52191,61777
29373,46237
42610,50295
33430,60948
6041,31195
8672,18168
23062,60871
10408,57209
26943,31468
33060,49105
33430,44567
35630,66349
7049,54786
14726,28128
6543,47542
3150,9301
23106,62541
47814,62345
31729,34813
19281,20672
11059,35606
21380,46850
6738,58301
1724,35021
44977,62404
33342,61509
27822,66561
51388,57262
2508,9638
189,13550
13664,18671
11913,40010
25702,44305
5888,23203
40905,53510
23901,66941
27174,65422
4763,55881
7696,63875
8661,15792
38730,40400
2168,63526
64577,66474
6240,6900
17182,42859
6142,53498
46786,51498
32420,61289
5339,38500
22298,30881
42618,46237
39723,40517
20741,50296
6089,53510
19319,21573
1132,40351
11958,37185
8851,49069
28320,33200
18668,19105
32881,36180
18253,61811
7912,39835
60056,68458
48823,64813
30073,33200
13408,18339
38332,54042
25481,31023
35204,45524
18844,49431
178,15711
9220,29635
16780,42581
21735,54788
17289,39253
12993,42915
15664,19082
7136,40675
28421,66739
6977,33431
11078,53450
9901,30254
25755,44577
46193,50736
12715,28083
1078,55676
19268,55951
43016,54465
16211,20921
5477,19983
43169,64167
1481,50736
41270,49517
23972,32109
27340,54818
15678,35863
17075,27034
9167,44803
2794,39085
7859,33315
44022,52919
20033,44688
37963,38055
50786,61275
40907,61364
34421,54255
23825,55443
1227,22961
46311,67453
21380,62824
38614,59789
17983,46551
8271,29778
4521,62227
12357,41588
7139,13016
932,60627
9026,65088
36578,44883
28095,65697
2177,8502
28098,45570
57738,66821
4104,29256
11105,47827
1514,25343
5471,41537
12485,20741
10108,56482
5778,23208
5390,53510
5806,20420
28197,57444
6859,40390
22644,68054
17030,60678
44567,65045
22240,56008
13937,44647
7120,9390
36235,58148
14958,34989
6517,51840
14911,16908
50386,57249
10598,23072
20434,63697
14498,30420
26860,63156
43879,58006
25983,26127
25792,66621
46139,49369
43864,61950
34810,35114
388,14726
27246,45107
3175,48666
20994,45844
42505,45325
32661,56916
10211,17384
3873,19420
356,24990
27652,30073
39325,50371
33431,57273
33030,47458
54043,60999
2371,49908
16031,41465
37442,59946
21934,66288
1268,3342
414,65197
25982,40803
13443,31029
19808,34101
26766,64971
25795,52498
17575,46670
35894,68175
7346,11580
12459,57273
6210,61407
249,4186
6435,32715
30766,61648
4719,17793
37539,57496
39946,53439
5380,21073
54465,65627
13717,43226
35639,66260
215,6859
4354,10953
45844,60814
27973,55744
6142,46001
29546,37737
39085,49958
2459,57635
36456,47677
19615,20994
28461,28857
4336,39199
10375,11403
42186,52701
10431,40435
29373,29380
26509,47969
35794,43099
40147,55079
33426,42653
9227,17037
19047,23955
48002,66017
924,48387
11403,13937
9757,59303
33108,49219
7127,46695
25264,31209
215,44782
27434,32860
16687,23687
58348,62227
26847,43076
64142,65864
23560,62227
60956,66466
11181,27941
24790,66704
31145,33091
9390,42491
39195,52956
17066,42788
18548,34364
35641,64553
30614,45904
11755,55173
28650,31083
40562,47597
51028,57584
64971,68178
8411,54615
6384,44436
36860,66939
35892,62345
26702,39534
30881,41518
48263,52960
4074,8502
18634,43156
6181,29260
24394,26363
4394,62747
6504,64011
370,67983
58462,66564
12211,28652
16211,47551
42653,68041
20199,47459
1931,50913
3200,15089
1539,15464
34121,35863
46569,51351
25197,61580
40517,50192
8188,66939
41465,64862
7696,41419
60869,68024
2121,29983
26847,40329
19031,40438
2695,16728
27246,34596
13093,20810
29595,30584
14352,55873
29335,63707
19031,41465
116,58376
41588,63216
19669,50814
32082,66575
37936,66382
1227,67802
27337,53907
7379,18844
2177,17289
21669,57635
13960,27122
7135,48570
11516,36163
18780,20715
26202,33978
10661,63904
24059,46443
32749,58133
5187,58546
12271,22864
19073,37947
16933,65882
17817,62404
41167,49096
32834,54178
29509,32481
44977,58267
22589,34787
40559,61879
37417,45461
40805,51152
12247,25628
30579,44392
25325,53282
12580,45181
34546,43686
1846,57082
35835,58748
8306,33342
46718,66017
9082,49304
24834,55491
15078,29928
15874,56805
30424,37957
25092,53450
15662,39176
52333,64707
31808,56645
60094,66522
16869,58323
52883,67701
26734,66471
21520,58919
13769,62227
28950,45736
34855,43226
12981,48024
35204,38614
273,44820
15473,40936
28439,53270
14017,26304
3202,57165
6948,66704
34735,39345
5545,21286
18498,26454
13552,20200
3966,34959
12576,58599
10375,60148
30946,59889
28439,59145
21688,45325
5829,51615
26450,53037
10170,24697
6476,68423
28633,67453
21747,36494
28083,61475
57942,59136
25493,51293
41339,45485
18441,55158
37185,52044
16907,67247
45233,50481
12459,45526
55558,58276
38074,57295
17030,43864
30876,61275
27260,61323
10570,25031
3682,66247
48973,57885
6814,62837
7648,62370
49842,57584
10087,11084
7704,32661
1724,61879
24178,41688
16796,49216
360,20845
25982,41477
8188,21669
15778,68329
15013,61556
2123,61343
26724,35910
19123,27894
3465,6142
50330,61391
859,60075
29237,32545
18656,38315
5581,43425
19977,23316
15897,19974
24897,42653
34121,46419
63706,65922
13937,29181
5451,22285
16211,40382
10677,30420
478,29044
35941,43753
11557,61879
58188,58348
22643,41238
5554,21326
51028,66017
23345,54313
29970,36619
14312,29717
47410,64152
5471,28950
18348,30896
27135,63156
10882,50699
50676,52716
15487,32635
17100,51189
45460,49978
53102,56120
34891,68028
39366,62418
16164,48795
955,38614
52282,57343
10571,29945
277,59708
19491,43864
16821,25590
39959,59916
16029,32655
41167,68251
28083,36010
3682,19420
21869,41200
61985,67386
8199,19893
23486,64394
1827,26847
15175,44316
8527,36494
374,17307
43290,59801
38334,40105
11264,36010
5831,42260
28111,40987
40894,48022
32856,50620
11986,55515
17166,53132
41203,55964
1673,36010
20169,39862
16411,38767
7522,51277
35606,60956
37108,42952
22057,56227
28712,37112
3306,28083
48570,60956
7859,50118
57466,57829
28697,43105
29291,44427
34735,62227
45663,49192
10045,40444
7648,47146
41588,46850
5866,9985
3966,61561
52622,56300
43076,59375
17912,66739
26234,45754
19615,34926
37108,41609
18109,28356
37835,63396
56583,57273
38500,39085
52161,59886
7736,52901
26596,49726
768,51848
924,50270
31872,59819
36180,64891
11403,62227
25388,61381
17793,57878
20519,39803
24711,49958
48973,66017
37932,40517
20457,50152
21575,23486
33650,33755
33431,53444
31051,57396
42029,66561
17174,46471
6515,28882
32935,54259
27799,40041
27941,45158
33151,36637
16164,27587
21489,47525
22621,64640
19718,20417
9912,58377
2469,43978
29715,46237
7974,11141
36860,44934
31037,63462
21952,49642
34463,41137
33799,41465
37058,61950
24198,37164
39728,42068
32326,63728
55259,66135
26306,55610
17667,18015
12227,21073
4866,14017
15135,59096
13664,59391
10093,22574
47541,48387
22838,50972
760,35941
32661,52762
24783,26793
4988,14525
18640,52544
52149,65711
37520,49149
3423,63156
30160,31529
17801,33978
1283,46981
25929,59224
38375,40061
18550,29953
13221,23536
21598,45898
64477,65922
33715,41896
28986,51176
10772,67706
40580,64210
15845,49948
24478,46740
43000,64031
29129,68312
14017,19625
23870,29635
37963,39085
25207,40655
33715,35037
23072,62494
51763,67362
40221,40948
37963,38500
30808,52419
37219,42886
47049,59882
28160,50892
2411,23221
21518,48634
40894,63113
5339,53450
13664,24394
6902,52695
10598,29335
25919,27723
22605,44598
9321,18533
10602,42318
5544,51477
17667,19073
46660,54665
58133,64352
12981,63938
3423,33650
17911,32289
41967,62302
32544,35001
47752,58028
9154,48823
2995,46993
28633,46311
24544,65399
34820,63697
31921,67037
23608,68111
4446,35863
4387,56677
35054,51215
4223,17634
21247,36071
16451,61918
6809,63363
19997,26958
21518,53788
14919,28779
1827,57885
924,21518
27938,48192
65168,65516
39174,64908
31271,37108
16757,49865
25290,35424
46139,54178
35060,40584
5263,66135
33892,64168
8208,39469
8911,61879
12268,55387
58685,61830
2070,30596
14304,28240
5482,30744
17470,38891
13937,35606
28862,49153
34891,46854
38787,50489
26530,39020
22961,55079
11196,48973
45319,58588
26021,66820
29237,48104
6595,13200
27822,53064
42821,54259
22990,56016
35835,43740
34891,40517
39368,64244
32302,50568
22838,34926
27218,31872
12855,57365
16031,18258
1292,21790
36213,42818
25569,52184
19030,59295
181,55497
25682,41043
56089,59925
9010,46670
58588,65486
33715,46139
25481,66603
65930,67493
15604,43013
15083,39085
28050,33433
54042,57084
31462,39069
25729,30589
6948,41833
15957,48868
26735,66415
18882,37155
3890,48729
28779,34596
23127,44454
33715,46186
36019,64720
34071,36011
116,12697
10677,63697
16266,39835
39299,61169
43974,51989
42725,57323
13717,32408
6517,49074
15005,49908
6181,27460
33137,57738
5357,21209
19893,47509
53238,59600
31907,36383
44697,66575
17575,22935
4983,60445
55924,57125
11403,47390
6595,22472
41092,47725
13763,43485
18550,33246
10247,35154
4186,23208
15090,23203
23106,24394
24790,68057
48851,59077
10278,17162
22691,39440
4892,65303
17174,48984
942,14312
41238,43822
3176,5649
38767,53029
18459,52470
14980,61757
17878,66739
9154,16320
36406,59858
20417,31240
5833,37520
6384,64485
42074,46950
4763,31807
27822,66843
43974,44262
36621,63511
643,9935
21477,30160
554,30863
14406,17066
16975,56801
20471,44862
34268,57673
47551,57878
16266,50673
38682,45692
18720,29928
29220,31860
31735,49566
25844,50568
23698,49817
46879,68727
21286,67624
5709,43346
22895,30160
53722,58301
23545,54619
22026,65505
12015,63697
29509,29596
32017,62234
20874,62763
7273,52725
51233,53238
1792,67383
18548,68054
13016,58933
11557,17289
29761,66820
42018,59651
21326,21518
22173,22467
48002,55210
20253,50182
35300,37616
15618,49958
15253,22275
2111,53241
25633,28594
38112,65199
50679,57942
15604,40345
22716,65891
33892,53088
23764,44454
2885,22156
32715,53469
13198,20883
38660,51783
14489,14911
53105,66843
17141,55126
1035,27260
25188,44262
29380,50973
8012,42186
2716,41033
35941,46557
11977,37876
21988,49668
62803,63614
10497,14235
27698,36071
36718,55667
1779,51028
40803,56035
29595,50568
1555,55746
361,53450
32309,51405
19091,57146
44029,52429
25291,30946
10533,11505
43136,46343
15993,63113
21729,36939
41238,55787
24711,42819
32773,43226
43425,60110
823,50814
4701,37268
32719,40370
22466,45775
42501,68000
51160,59343
62931,68163
5461,50306
19984,46804
26850,54465
5263,38964
11013,21301
42260,56765
46624,49430
41908,52344
5764,21411
30744,41115
12581,46419
1511,23420
22172,46630
47967,49804
54087,58965
39773,44574
19169,29017
14456,27822
54845,56916
13243,36767
41322,54712
9218,63883
52260,55229
19917,37616
17410,61659
1724,68631
23057,50118
25709,33856
37025,47901
18668,47827
12267,59343
37520,41379
22920,60138
8207,33262
3737,30160
2600,67706
515,48583
19133,20883
31503,40370
5510,40594
19268,33212
36033,37332
7901,62345
16455,38256
34558,57553
13260,68144
7566,63786
7780,63786
29220,49573
27128,32466
10756,66564
41138,65232
2600,57246
26630,37185
11180,48666
20924,48976
302,9494
8366,37108
15482,30896
44583,45389
37893,49295
15168,18109
8672,34142
1616,53444
22107,53302
60184,66546
30363,50747
39115,59703
56227,65727
23172,64891
13278,58972
41823,52419
5379,26847
17030,51512
6156,35135
26724,26793
51690,66135
32814,58231
2013,23743
17487,20921
17940,38425
48442,62972
27260,49455
41176,61832
4503,4521
41534,47518
46671,56800
15826,45632
8672,51382
50850,62050
24603,55867
45648,58148
26021,38107
15005,26847
46598,66820
16728,53406
3029,5665
20134,51553
17758,36154
15617,58231
46808,68027
33952,57492
11913,38253
7440,31668
22564,53324
15007,15751
33892,43566
14742,23801
1514,66247
33384,42198
760,46557
22845,62428
36585,42294
39957,45715
41550,56798
1562,44688
21380,30478
11196,66019
30313,52116
7108,53355
49544,58267
5964,44820
22605,23236
31760,43080
3097,45536
8134,10474
2729,14357
2600,60375
49541,60251
32833,42819
33543,56685
25092,55443
11913,41302
46921,60324
16467,37659
1165,51099
10668,47359
19237,26979
15391,59303
59145,62775
16796,40041
4111,14823
6041,31376
12067,61879
47415,52055
18601,34740
62609,62824
53323,58458
1827,17289
6326,15238
8404,16211
24766,41388
40316,46963
55322,62977
39917,49045
50684,68727
34441,61301
2964,57281
1931,48405
20394,35178
58133,64191
8085,18285
352,55322
37932,44820
30193,44600
30317,66200
28083,42491
2371,50073
17671,50372
20338,50437
17217,61879
486,58718
6254,51294
9804,55930
